代码,名称,日期,收盘价(元)
000188.SH,中国波指,2018/01/29,18.49
000188.SH,中国波指,2018/01/30,16.08
000188.SH,中国波指,2018/01/31,17.15
000188.SH,中国波指,2018/02/01,16.79
000188.SH,中国波指,2018/02/02,17.03
000188.SH,中国波指,2018/02/05,18.55
000188.SH,中国波指,2018/02/06,22.2
000188.SH,中国波指,2018/02/07,24.06
000188.SH,中国波指,2018/02/08,25.67
000188.SH,中国波指,2018/02/09,33.06
000188.SH,中国波指,2018/02/12,28.19
000188.SH,中国波指,2018/02/13,27.53
000188.SH,中国波指,2018/02/14,27.32
000188.SH,中国波指,2018/02/22,27.32
000188.SH,中国波指,2018/02/23,27.32
000188.SH,中国波指,2018/02/26,27.32
000188.SH,中国波指,2018/02/27,27.32
000188.SH,中国波指,2018/02/28,27.32
000188.SH,中国波指,2018/03/01,27.32
000188.SH,中国波指,2018/03/02,27.32
000188.SH,中国波指,2018/03/05,27.32
000188.SH,中国波指,2018/03/06,27.32
000188.SH,中国波指,2018/03/07,27.32
000188.SH,中国波指,2018/03/08,27.32
000188.SH,中国波指,2018/03/09,27.32
000188.SH,中国波指,2018/03/12,27.32
000188.SH,中国波指,2018/03/13,27.32
000188.SH,中国波指,2018/03/14,27.32
000188.SH,中国波指,2018/03/15,27.32
000188.SH,中国波指,2018/03/16,27.32
000188.SH,中国波指,2018/03/19,27.32
000188.SH,中国波指,2018/03/20,27.32
000188.SH,中国波指,2018/03/21,27.32
000188.SH,中国波指,2018/03/22,27.32
000188.SH,中国波指,2018/03/23,27.32
000188.SH,中国波指,2018/03/26,27.32
000188.SH,中国波指,2018/03/27,27.32
000188.SH,中国波指,2018/03/28,27.32
000188.SH,中国波指,2018/03/29,27.32
000188.SH,中国波指,2018/03/30,27.32
000188.SH,中国波指,2018/04/02,27.32
000188.SH,中国波指,2018/04/03,27.32
000188.SH,中国波指,2018/04/04,27.32
000188.SH,中国波指,2018/04/09,27.32
000188.SH,中国波指,2018/04/10,27.32
000188.SH,中国波指,2018/04/11,27.32
000188.SH,中国波指,2018/04/12,27.32
000188.SH,中国波指,2018/04/13,27.32
000188.SH,中国波指,2018/04/16,27.32
000188.SH,中国波指,2018/04/17,27.32
000188.SH,中国波指,2018/04/18,27.32
000188.SH,中国波指,2018/04/19,27.32
000188.SH,中国波指,2018/04/20,27.32
000188.SH,中国波指,2018/04/23,27.32
000188.SH,中国波指,2018/04/24,27.32
000188.SH,中国波指,2018/04/25,27.32
000188.SH,中国波指,2018/04/26,27.32
000188.SH,中国波指,2018/04/27,27.32
000188.SH,中国波指,2018/05/02,27.32
000188.SH,中国波指,2018/05/03,27.32
000188.SH,中国波指,2018/05/04,27.32
000188.SH,中国波指,2018/05/07,27.32
000188.SH,中国波指,2018/05/08,27.32
000188.SH,中国波指,2018/05/09,27.32
000188.SH,中国波指,2018/05/10,27.32
000188.SH,中国波指,2018/05/11,27.32
000188.SH,中国波指,2018/05/14,27.32
000188.SH,中国波指,2018/05/15,27.32
000188.SH,中国波指,2018/05/16,27.32
000188.SH,中国波指,2018/05/17,27.32
000188.SH,中国波指,2018/05/18,27.32
000188.SH,中国波指,2018/05/21,27.32
000188.SH,中国波指,2018/05/22,27.32
000188.SH,中国波指,2018/05/23,27.32
000188.SH,中国波指,2018/05/24,27.32
000188.SH,中国波指,2018/05/25,27.32
000188.SH,中国波指,2018/05/28,27.32
000188.SH,中国波指,2018/05/29,27.32
000188.SH,中国波指,2018/05/30,27.32
000188.SH,中国波指,2018/05/31,27.32
000188.SH,中国波指,2018/06/01,27.32
000188.SH,中国波指,2018/06/04,27.32
000188.SH,中国波指,2018/06/05,27.32
000188.SH,中国波指,2018/06/06,27.32
000188.SH,中国波指,2018/06/07,27.32
000188.SH,中国波指,2018/06/08,27.32
000188.SH,中国波指,2018/06/11,27.32
000188.SH,中国波指,2018/06/12,27.32
000188.SH,中国波指,2018/06/13,27.32
000188.SH,中国波指,2018/06/14,27.32
000188.SH,中国波指,2018/06/15,27.32
000188.SH,中国波指,2018/06/19,27.32
000188.SH,中国波指,2018/06/20,27.32
000188.SH,中国波指,2018/06/21,27.32
000188.SH,中国波指,2018/06/22,27.32
000188.SH,中国波指,2018/06/25,27.32
000188.SH,中国波指,2018/06/26,27.32
000188.SH,中国波指,2018/06/27,27.32
000188.SH,中国波指,2018/06/28,27.32
000188.SH,中国波指,2018/06/29,27.32
000188.SH,中国波指,2018/07/02,27.32
000188.SH,中国波指,2018/07/03,27.32
000188.SH,中国波指,2018/07/04,27.32
000188.SH,中国波指,2018/07/05,27.32
